From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology IDs
Q6ZNA5	Q6ZNA5	reviewed	FRRS1_HUMAN	Ferric-chelate reductase 1 (EC 1.-.-.-) (Stromal cell-derived receptor 2) (SDR-2)	FRRS1 SDFR2 SDR2	Homo sapiens (Human)	592	GO:0006879; GO:0016020; GO:0016722; GO:0046872
P48416	P48416	reviewed	CP10_LYMST	Cytochrome P450 10 (EC 1.14.-.-) (CYPX)	CYP10	Lymnaea stagnalis (Great pond snail) (Helix stagnalis)	545	GO:0004497; GO:0005506; GO:0016705; GO:0020037
P43405	P43405	reviewed	KSYK_HUMAN	Tyrosine-protein kinase SYK (EC 2.7.10.2) (Spleen tyrosine kinase) (p72-Syk)	SYK	Homo sapiens (Human)	635	GO:0001525; GO:0001775; GO:0001784; GO:0001945; GO:0002092; GO:0002223; GO:0002250; GO:0002281; GO:0002283; GO:0002366; GO:0002554; GO:0002862; GO:0004672; GO:0004674; GO:0004713; GO:0004715; GO:0005102; GO:0005178; GO:0005524; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006468; GO:0006606; GO:0007159; GO:0007169; GO:0007229; GO:0009887; GO:0010543; GO:0010803; GO:0016170; GO:0016301; GO:0018105; GO:0018108; GO:0019370; GO:0019722; GO:0019815; GO:0019901; GO:0019902; GO:0030154; GO:0030168; GO:0030183; GO:0030593; GO:0031234; GO:0031334; GO:0031623; GO:0032009; GO:0032481; GO:0032725; GO:0032733; GO:0032735; GO:0032752; GO:0032753; GO:0032755; GO:0032757; GO:0032760; GO:0032765; GO:0032928; GO:0032930; GO:0032991; GO:0033630; GO:0035325; GO:0035556; GO:0038063; GO:0038095; GO:0038096; GO:0038156; GO:0042101; GO:0042169; GO:0042492; GO:0042742; GO:0043274; GO:0043280; GO:0043303; GO:0043306; GO:0043313; GO:0043366; GO:0043507; GO:0045087; GO:0045579; GO:0045588; GO:0045780; GO:0046638; GO:0046641; GO:0046777; GO:0048514; GO:0050731; GO:0050764; GO:0050850; GO:0050853; GO:0051090; GO:0051712; GO:0070372; GO:0071226; GO:0071396; GO:0071404; GO:0071639; GO:0090237; GO:0090330; GO:0097110; GO:0120162; GO:0140677; GO:1990858
P84060	P84060	reviewed	DTNB_RAT	Dystrobrevin beta (DTN-B) (Beta-dystrobrevin)	Dtnb	Rattus norvegicus (Rat)	654	GO:0003677; GO:0005634; GO:0005737; GO:0005886; GO:0008270; GO:0009925; GO:0014069; GO:0019902; GO:0030182; GO:0030425; GO:0045202; GO:0060077; GO:0099536
Q13541	Q13541	reviewed	4EBP1_HUMAN	Eukaryotic translation initiation factor 4E-binding protein 1 (4E-BP1) (eIF4E-binding protein 1) (Phosphorylated heat- and acid-stable protein regulated by insulin 1) (PHAS-I)	EIF4EBP1	Homo sapiens (Human)	118	GO:0000082; GO:0005737; GO:0005829; GO:0008190; GO:0030371; GO:0031929; GO:0045931; GO:0045947
Q8K409	Q8K409	reviewed	DPOLB_MOUSE	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-)	Polb	Mus musculus (Mouse)	335	GO:0000795; GO:0001701; GO:0003677; GO:0003684; GO:0003887; GO:0005634; GO:0005737; GO:0005874; GO:0005876; GO:0006260; GO:0006284; GO:0006287; GO:0006290; GO:0006303; GO:0006915; GO:0006954; GO:0006974; GO:0007435; GO:0007568; GO:0008017; GO:0008630; GO:0010332; GO:0016445; GO:0016446; GO:0016829; GO:0019899; GO:0032991; GO:0045471; GO:0046872; GO:0048535; GO:0048536; GO:0048872; GO:0051402; GO:0055093; GO:0071707
P06766	P06766	reviewed	DPOLB_RAT	DNA polymerase beta (EC 2.7.7.7) (EC 4.2.99.-)	Polb	Rattus norvegicus (Rat)	335	GO:0001701; GO:0003677; GO:0003684; GO:0003887; GO:0005634; GO:0005737; GO:0005874; GO:0005876; GO:0006260; GO:0006284; GO:0006287; GO:0006290; GO:0006303; GO:0006915; GO:0006954; GO:0006974; GO:0007435; GO:0007568; GO:0008017; GO:0008630; GO:0010332; GO:0016445; GO:0016446; GO:0016829; GO:0019899; GO:0032991; GO:0045471; GO:0046872; GO:0048535; GO:0048536; GO:0048872; GO:0051402; GO:0055093; GO:0071707
Q06210	Q06210	reviewed	GFPT1_HUMAN	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 (EC 2.6.1.16) (D-fructose-6-phosphate amidotransferase 1) (Glutamine:fructose-6-phosphate amidotransferase 1) (GFAT 1) (GFAT1) (Hexosephosphate aminotransferase 1)	GFPT1 GFAT GFPT	Homo sapiens (Human)	699	GO:0004360; GO:0005829; GO:0006002; GO:0006047; GO:0006048; GO:0006112; GO:0006487; GO:0006541; GO:0032922; GO:0070062; GO:0097367
Q5E9S4	Q5E9S4	reviewed	AT2L1_BOVIN	Ethanolamine-phosphate phospho-lyase (EC 4.2.3.2) (Alanine--glyoxylate aminotransferase 2-like 1)	ETNPPL AGXT2L1	Bos taurus (Bovine)	497	GO:0005739; GO:0008483; GO:0030170; GO:0050459
P27600	P27600	reviewed	GNA12_MOUSE	Guanine nucleotide-binding protein subunit alpha-12 (G alpha-12) (G-protein subunit alpha-12)	Gna12 Gna-12	Mus musculus (Mouse)	379	GO:0001701; GO:0003924; GO:0005525; GO:0005737; GO:0005834; GO:0007186; GO:0007188; GO:0007266; GO:0008217; GO:0008360; GO:0009410; GO:0010762; GO:0016328; GO:0019888; GO:0030154; GO:0031526; GO:0031683; GO:0031752; GO:0032006; GO:0032434; GO:0032516; GO:0035556; GO:0042733; GO:0043005; GO:0043025; GO:0046872; GO:0051721; GO:1904706; GO:1904753
Q9WV76	Q9WV76	reviewed	AP4B1_MOUSE	AP-4 complex subunit beta-1 (AP-4 adaptor complex subunit beta) (Adaptor-related protein complex 4 subunit beta-1) (Beta subunit of AP-4) (Beta4-adaptin)	Ap4b1	Mus musculus (Mouse)	738	GO:0005802; GO:0005829; GO:0006605; GO:0006886; GO:0016192; GO:0030124; GO:0030131; GO:0030276; GO:0061938; GO:0098541
Q9NYH9	Q9NYH9	reviewed	UTP6_HUMAN	U3 small nucleolar RNA-associated protein 6 homolog (Hepatocellular carcinoma-associated antigen 66) (Multiple hat domains protein)	UTP6 C17orf40 HCA66 MHAT	Homo sapiens (Human)	597	GO:0000462; GO:0005654; GO:0005694; GO:0005730; GO:0030515; GO:0032040; GO:0034388; GO:0042274
Q8VCY6	Q8VCY6	reviewed	UTP6_MOUSE	U3 small nucleolar RNA-associated protein 6 homolog (Multiple hat domains protein)	Utp6 Mhat	Mus musculus (Mouse)	597	GO:0000462; GO:0005694; GO:0005730; GO:0030515; GO:0032040; GO:0034388; GO:0042274
D3Z8N4	D3Z8N4	reviewed	KLH20_RAT	Kelch-like protein 20	Klhl20	Rattus norvegicus (Rat)	609	GO:0003779; GO:0004842; GO:0005737; GO:0005802; GO:0005829; GO:0006895; GO:0015031; GO:0016567; GO:0016605; GO:0019964; GO:0030424; GO:0030425; GO:0031463; GO:0043066; GO:0043161; GO:0048471; GO:1990390
E9Q876	E9Q876	reviewed	ABCAC_MOUSE	Glucosylceramide transporter ABCA12 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 12)	Abca12	Mus musculus (Mouse)	2595	GO:0000139; GO:0003336; GO:0005102; GO:0005319; GO:0005524; GO:0005737; GO:0005743; GO:0005829; GO:0005886; GO:0006672; GO:0006869; GO:0006886; GO:0010875; GO:0016887; GO:0030216; GO:0030658; GO:0031424; GO:0032379; GO:0032940; GO:0033344; GO:0033700; GO:0034191; GO:0035627; GO:0042626; GO:0043129; GO:0043231; GO:0045055; GO:0045616; GO:0048286; GO:0051649; GO:0055088; GO:0061178; GO:0061436; GO:0072659; GO:0097209; GO:0097234; GO:0140326; GO:0140359; GO:2000010
O95477	O95477	reviewed	ABCA1_HUMAN	Phospholipid-transporting ATPase ABCA1 (EC 7.6.2.1) (ATP-binding cassette sub-family A member 1) (ATP-binding cassette transporter 1) (ABC-1) (ATP-binding cassette 1) (Cholesterol efflux regulatory protein)	ABCA1 ABC1 CERP	Homo sapiens (Human)	2261	GO:0002790; GO:0005102; GO:0005524; GO:0005548; GO:0005768; GO:0005789; GO:0005794; GO:0005886; GO:0006497; GO:0006911; GO:0007040; GO:0007186; GO:0007189; GO:0008203; GO:0008320; GO:0009306; GO:0009897; GO:0010745; GO:0010875; GO:0010887; GO:0015485; GO:0016197; GO:0016887; GO:0019905; GO:0023061; GO:0030139; GO:0031210; GO:0031267; GO:0032367; GO:0032489; GO:0033344; GO:0033700; GO:0034185; GO:0034186; GO:0034188; GO:0034380; GO:0034616; GO:0042626; GO:0042632; GO:0043231; GO:0043691; GO:0045121; GO:0045332; GO:0045335; GO:0046623; GO:0048471; GO:0051117; GO:0055091; GO:0060155; GO:0071222; GO:0071300; GO:0071404; GO:0071806; GO:0090107; GO:0090108; GO:0090554; GO:0090556; GO:0097708; GO:0120020; GO:0140115; GO:0140328; GO:0140359
Q568M3	Q568M3	reviewed	CRLF3_DANRE	Cytokine receptor-like factor 3 (Clf-3 protein)	crlf3 clf-3 zgc:110212	Danio rerio (Zebrafish) (Brachydanio rerio)	444	GO:0003677; GO:0005634; GO:0005737
C0HKC9	C0HKC9	reviewed	SMK3B_MOUSE	Sperm motility kinase 3B (EC 2.7.11.1)	Smok3b	Mus musculus (Mouse)	504	GO:0004674; GO:0005524; GO:0006468; GO:0031588; GO:0032007; GO:0035556; GO:0042149; GO:0106310
Q5FWI3	Q5FWI3	reviewed	CEIP2_MOUSE	Cell surface hyaluronidase (EC 3.2.1.35) (Cell migration-inducing hyaluronidase 2) (Transmembrane protein 2)	Cemip2 Kiaa1412 Tmem2	Mus musculus (Mouse)	1383	GO:0001525; GO:0004415; GO:0005509; GO:0005730; GO:0005829; GO:0005886; GO:0030214; GO:0043231; GO:1903670
Q8BFR2	Q8BFR2	reviewed	FSTL5_MOUSE	Follistatin-related protein 5 (Follistatin-like protein 5) (m-D/Bsp120I 1-2)	Fstl5 Kiaa1263	Mus musculus (Mouse)	847	GO:0005509; GO:0005576; GO:0030154; GO:0030510
P35129	P35129	reviewed	UBC2_CAEEL	Ubiquitin-conjugating enzyme E2 2 (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme 2) (Lethal protein 70) (Ubiquitin carrier protein 2) (Ubiquitin-protein ligase 2)	let-70 ubc-2 M7.1	Caenorhabditis elegans	147	GO:0000151; GO:0000209; GO:0004842; GO:0005524; GO:0005634; GO:0005694; GO:0005737; GO:0006511; GO:0010623; GO:0016567; GO:0031625; GO:0061631
P70711	P70711	reviewed	U2D2B_RAT	Ubiquitin-conjugating enzyme E2 D2B (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme D2B) (Ubiquitin carrier protein D2B) (Ubiquitin-conjugating enzyme E2(17)KB 2B) (Ubiquitin-conjugating enzyme E2-17 kDa 2B) (Ubiquitin-protein ligase D2B)	Ube2d2b Ube2d2	Rattus norvegicus (Rat)	147	GO:0000151; GO:0004842; GO:0005524; GO:0005634; GO:0006511; GO:0016567; GO:0031625; GO:0035519; GO:0044314; GO:0061631; GO:0070534; GO:0070936; GO:0070979; GO:0071276; GO:0085020; GO:1903841
P49288	P49288	reviewed	MTR1C_CHICK	Melatonin receptor type 1C (Mel-1C-R) (Mel1c receptor) (CKB)		Gallus gallus (Chicken)	346	GO:0004930; GO:0005654; GO:0005886; GO:0007186; GO:0008502; GO:0045820; GO:0046325; GO:1904408
Q9U6M0	Q9U6M0	reviewed	ECSIT_DROME	Evolutionarily conserved signaling intermediate in Toll pathway, mitochondrial	ECSIT CG10610	Drosophila melanogaster (Fruit fly)	409	GO:0005634; GO:0005737; GO:0005739; GO:0045087; GO:0051341; GO:0061635
Q9JHN8	Q9JHN8	reviewed	STK19_MOUSE	Serine/threonine-protein kinase 19 (EC 2.7.11.1) (Protein RP1)	Stk19 Rp1	Mus musculus (Mouse)	254	GO:0004674; GO:0005524; GO:0006468; GO:0016607; GO:0031267; GO:0046579; GO:0106310
Q5HZT0	Q5HZT0	reviewed	DXO_XENLA	Decapping and exoribonuclease protein (DXO) (EC 3.6.1.-) (5'-3' exoribonuclease DXO) (EC 3.1.13.-) (Dom-3 homolog Z) (NAD-capped RNA hydrolase DXO) (DeNADding enzyme DXO) (EC 3.6.1.-)	dxo dom3z	Xenopus laevis (African clawed frog)	401	GO:0000166; GO:0000287; GO:0003729; GO:0005634; GO:0006402; GO:0008409; GO:0034353; GO:0050779; GO:0071028; GO:0090305; GO:0110152; GO:0110155
Q8IYH5	Q8IYH5	reviewed	ZZZ3_HUMAN	ZZ-type zinc finger-containing protein 3	ZZZ3	Homo sapiens (Human)	903	GO:0003677; GO:0005654; GO:0005730; GO:0006325; GO:0006355; GO:0006357; GO:0008270; GO:0031063; GO:0035064; GO:0044154; GO:0045995; GO:0051302; GO:0051726; GO:0070577; GO:0072686; GO:0090043; GO:0140672
Q642A0	Q642A0	reviewed	PDRG1_RAT	p53 and DNA damage-regulated protein 1	Pdrg1	Rattus norvegicus (Rat)	133	GO:0005737; GO:1990062
Q7T3S5	Q7T3S5	reviewed	B3G5A_DANRE	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase A (EC 2.4.1.206) (Lactotriaosylceramide synthase A) (Lc(3)Cer synthase A) (Lc3 synthase A) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5A) (BGnT-5A) (Beta-1,3-Gn-T5A) (Beta-1,3-N-acetylglucosaminyltransferase 5A) (Beta3Gn-T5A)	b3gnt5a b3gnt5	Danio rerio (Zebrafish) (Brachydanio rerio)	379	GO:0000139; GO:0006493; GO:0006629; GO:0007420; GO:0008457; GO:0016020; GO:0047256
Q5HZL5	Q5HZL5	reviewed	B3G5A_XENLA	Lactosylceramide 1,3-N-acetyl-beta-D-glucosaminyltransferase A (EC 2.4.1.206) (Lactotriaosylceramide synthase A) (Lc(3)Cer synthase A) (Lc3 synthase A) (UDP-GlcNAc:beta-Gal beta-1,3-N-acetylglucosaminyltransferase 5A) (BGnT-5A) (Beta-1,3-Gn-T5A) (Beta-1,3-N-acetylglucosaminyltransferase 5A) (Beta3Gn-T5A)	b3gnt5-a	Xenopus laevis (African clawed frog)	377	GO:0000139; GO:0006486; GO:0008457; GO:0047256
P25931	P25931	reviewed	RYAR_DROME	RYamide receptor (Neuropeptide Y-like receptor) (NPY-R)	RYa-R NepYr CG5811	Drosophila melanogaster (Fruit fly)	464	GO:0001653; GO:0004983; GO:0005886; GO:0007186; GO:0007218; GO:0008188; GO:0016020
Q91XA9	Q91XA9	reviewed	CHIA_MOUSE	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (YNL)	Chia Chia1	Mus musculus (Mouse)	473	GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0008061; GO:0019900; GO:0032722
O15072	O15072	reviewed	ATS3_HUMAN	A disintegrin and metalloproteinase with thrombospondin motifs 3 (ADAM-TS 3) (ADAM-TS3) (ADAMTS-3) (EC 3.4.24.-) (Procollagen II N-proteinase) (PC II-NP) (Procollagen II amino propeptide-processing enzyme)	ADAMTS3 KIAA0366	Homo sapiens (Human)	1205	GO:0001701; GO:0004175; GO:0004222; GO:0005576; GO:0005615; GO:0008201; GO:0008270; GO:0010573; GO:0016485; GO:0030198; GO:0030199; GO:0030574; GO:0031012; GO:0032964; GO:0070062; GO:0097435; GO:1900748
Q6INU8	Q6INU8	reviewed	IT70A_XENLA	Intraflagellar transport protein 70A (Tetratricopeptide repeat protein 30A) (TPR repeat protein 30A)	ift70a ttc30 ttc30a	Xenopus laevis (African clawed frog)	651	GO:0005879; GO:0005929; GO:0018095; GO:0042073
A1L2T6	A1L2T6	reviewed	ZCHC7_XENLA	Zinc finger CCHC domain-containing protein 7 (TRAMP-like complex RNA-binding factor ZCCHC7)	zcchc7	Xenopus laevis (African clawed frog)	563	GO:0003676; GO:0005730; GO:0008270
Q920G9	Q920G9	reviewed	GMCL1_MOUSE	Germ cell-less protein-like 1 (mGcl-1) (DP-interacting protein) (DIP)	Gmcl1 Gcl Gcl1	Mus musculus (Mouse)	524	GO:0005634; GO:0005635; GO:0006355; GO:0007281; GO:0007283; GO:0016363
Q8AWB5	Q8AWB5	reviewed	FUT10_CHICK	Alpha-(1,3)-fucosyltransferase 10 (EC 2.4.1.-) (Fucosyltransferase X) (Fuc-TX) (FucT-X) (Galactoside 3-L-fucosyltransferase 10) (Fucosyltransferase 10)	FUT10	Gallus gallus (Chicken)	475	GO:0000139; GO:0006486; GO:0032580; GO:0036065; GO:0046920
O62471	O62471	reviewed	QUI1_CAEEL	Protein qui-1 (Quinine non-avoider protein 1)	qui-1 Y45F10B.10	Caenorhabditis elegans	1592	GO:0005634; GO:0005829; GO:0030424; GO:0030425; GO:0043025; GO:0043204; GO:0043279
Q6P5U7	Q6P5U7	reviewed	NWD2_MOUSE	NACHT and WD repeat domain-containing protein 2 (Leucine-rich repeat and WD repeat-containing protein KIAA1239)	Nwd2 Kiaa1239	Mus musculus (Mouse)	1742	
Q9Y3C5	Q9Y3C5	reviewed	RNF11_HUMAN	RING finger protein 11	RNF11 CGI-123	Homo sapiens (Human)	154	GO:0000151; GO:0003677; GO:0005634; GO:0005769; GO:0006511; GO:0008270; GO:0051865; GO:0055037; GO:0061630; GO:0070062
Q64417	Q64417	reviewed	CP3AE_CAVPO	Cytochrome P450 3A14 (EC 1.14.14.1) (CYPIIIA14)	CYP3A14	Cavia porcellus (Guinea pig)	503	GO:0005506; GO:0005789; GO:0020037; GO:0070330
Q29496	Q29496	reviewed	CP3AO_SHEEP	Cytochrome P450 3A24 (EC 1.14.14.1) (CYPIIIA24)	CYP3A24	Ovis aries (Sheep)	503	GO:0004497; GO:0005506; GO:0005789; GO:0020037; GO:0070330
J3SBP3	J3SBP3	reviewed	PDE2_CROAD	Venom phosphodiesterase 2 (PDE) (EC 3.6.1.-)		Crotalus adamanteus (Eastern diamondback rattlesnake)	810	GO:0003676; GO:0005576; GO:0043262; GO:0046872; GO:0090729
A2ALV5	A2ALV5	reviewed	SHOC1_MOUSE	Protein shortage in chiasmata 1 ortholog (EC 3.6.-.-) (Protein ZIP2 homolog) (MZip2)	Shoc1 Zip2	Mus musculus (Mouse)	1481	GO:0000712; GO:0000794; GO:0003697; GO:0005694; GO:0007130; GO:0007131; GO:0016887
O88696	O88696	reviewed	CLPP_MOUSE	ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)	Clpp	Mus musculus (Mouse)	272	GO:0004175; GO:0004176; GO:0004252; GO:0005739; GO:0005759; GO:0006508; GO:0006515; GO:0009368; GO:0033619; GO:0042802; GO:0051117; GO:0051603
Q2KHU4	Q2KHU4	reviewed	CLPP_BOVIN	ATP-dependent Clp protease proteolytic subunit, mitochondrial (EC 3.4.21.92) (Endopeptidase Clp)	CLPP	Bos taurus (Bovine)	272	GO:0004176; GO:0004252; GO:0005759; GO:0006515; GO:0009368; GO:0033619; GO:0051117; GO:0051603
Q9DAX9	Q9DAX9	reviewed	APBP2_MOUSE	Amyloid protein-binding protein 2 (Amyloid beta precursor protein-binding protein 2) (APP-BP2)	Appbp2 Kiaa0228	Mus musculus (Mouse)	585	GO:0005654; GO:0005874; GO:0006886; GO:0016567; GO:0030659; GO:0031462; GO:0043161; GO:0046907; GO:1990756
Q5RDC7	Q5RDC7	reviewed	RWDD3_PONAB	RWD domain-containing protein 3	RWDD3	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	267	GO:0005634; GO:0005737; GO:0032088; GO:0033235; GO:1902073
Q08499	Q08499	reviewed	PDE4D_HUMAN	cAMP-specific 3',5'-cyclic phosphodiesterase 4D (EC 3.1.4.53) (DPDE3) (PDE43)	PDE4D DPDE3	Homo sapiens (Human)	809	GO:0002027; GO:0004114; GO:0004115; GO:0005634; GO:0005815; GO:0005829; GO:0005886; GO:0005891; GO:0006198; GO:0010469; GO:0010880; GO:0016020; GO:0016324; GO:0019899; GO:0019933; GO:0030552; GO:0031698; GO:0032729; GO:0032743; GO:0032754; GO:0033137; GO:0034704; GO:0043951; GO:0044325; GO:0045822; GO:0046872; GO:0048471; GO:0050852; GO:0051117; GO:0060314; GO:0061028; GO:0071320; GO:0071872; GO:0071875; GO:0086004; GO:0086024; GO:0097110; GO:1901363; GO:1901844; GO:1901898
Q54TR1	Q54TR1	reviewed	CFAD_DICDI	Counting factor associated protein D	cfaD DDB_G0281605	Dictyostelium discoideum (Social amoeba)	531	GO:0004197; GO:0005576; GO:0005615; GO:0006955; GO:0010952; GO:0031288; GO:0031410; GO:0051603; GO:0072659; GO:0140986; GO:1903665; GO:2001235
A2V9Y8	A2V9Y8	reviewed	OXDA_MACFA	D-amino-acid oxidase (DAAO) (DAMOX) (DAO) (EC 1.4.3.3)	DAO Qlv-U252A-C12	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	347	GO:0003884; GO:0005777; GO:0019478; GO:0071949
Q9Y289	Q9Y289	reviewed	SC5A6_HUMAN	Sodium-dependent multivitamin transporter (Na(+)-dependent multivitamin transporter) (Solute carrier family 5 member 6)	SLC5A6 SMVT	Homo sapiens (Human)	635	GO:0005886; GO:0006814; GO:0008523; GO:0009925; GO:0012506; GO:0015225; GO:0015233; GO:0015878; GO:0015887; GO:0016020; GO:0016323; GO:0016324; GO:0031526; GO:0090482; GO:0150104; GO:1904200; GO:1905135
Q8N695	Q8N695	reviewed	SC5A8_HUMAN	Sodium-coupled monocarboxylate transporter 1 (Apical iodide transporter) (Electrogenic sodium monocarboxylate cotransporter) (Sodium iodide-related cotransporter) (Solute carrier family 5 member 8)	SLC5A8 AIT SMCT SMCT1	Homo sapiens (Human)	610	GO:0000811; GO:0005343; GO:0005886; GO:0006811; GO:0006814; GO:0006821; GO:0006846; GO:0006848; GO:0006915; GO:0008028; GO:0015129; GO:0015552; GO:0015705; GO:0015706; GO:0015727; GO:0015730; GO:0016324; GO:0022803; GO:0034356; GO:0070062; GO:0140161; GO:2001142
Q95M17	Q95M17	reviewed	CHIA_BOVIN	Acidic mammalian chitinase (AMCase) (EC 3.2.1.14) (Chitin-binding protein b04) (CBPb04)	CHIA	Bos taurus (Bovine)	472	GO:0000272; GO:0002376; GO:0002532; GO:0004568; GO:0005576; GO:0005615; GO:0005737; GO:0006032; GO:0006915; GO:0008061; GO:0032722
P04800	P04800	reviewed	CP3A1_RAT	Cytochrome P450 3A1 (EC 1.14.14.1) (CYPIIIA1) (Cytochrome P450-PCN1)	Cyp3a1 Cyp3a-1	Rattus norvegicus (Rat)	504	GO:0005506; GO:0005789; GO:0006805; GO:0007568; GO:0007584; GO:0009410; GO:0010038; GO:0020037; GO:0032451; GO:0043231; GO:0046686; GO:0050649; GO:0051384; GO:0070330; GO:0070989; GO:0071548
W8E7D1	W8E7D1	reviewed	PDE_MACLB	Venom phosphodiesterase (PDE) (VLPDE) (EC 3.6.1.-)		Macrovipera lebetina (Levantine viper) (Vipera lebetina)	851	GO:0003676; GO:0005576; GO:0043262; GO:0046872; GO:0090729
A9ULH0	A9ULH0	reviewed	RWDD3_XENTR	RWD domain-containing protein 3	rwdd3 TGas086h03.1	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	265	GO:0005634; GO:0005737; GO:0032088; GO:0033235; GO:1902073
Q0IJ05	Q0IJ05	reviewed	OSBL9_XENTR	Oxysterol-binding protein-related protein 9	osbpl9	Xenopus tropicalis (Western clawed frog) (Silurana tropicalis)	739	GO:0006869; GO:0008289
Q9UBC2	Q9UBC2	reviewed	EP15R_HUMAN	Epidermal growth factor receptor substrate 15-like 1 (Eps15-related protein) (Eps15R)	EPS15L1 EPS15R	Homo sapiens (Human)	864	GO:0005509; GO:0005634; GO:0005737; GO:0005829; GO:0005886; GO:0006897; GO:0016020; GO:0016197; GO:0030132; GO:0045296
P25183	P25183	reviewed	RCC1_XENLA	Regulator of chromosome condensation	rcc1	Xenopus laevis (African clawed frog)	424	GO:0005085; GO:0005634; GO:0005694; GO:0005737; GO:0007049; GO:0051301
Q9VHI4	Q9VHI4	reviewed	SF3B5_DROME	Splicing factor 3B subunit 5 (Pre-mRNA-splicing factor SF3b 10 kDa subunit)	Sf3b5 CG11985	Drosophila melanogaster (Fruit fly)	85	GO:0000124; GO:0000398; GO:0005686; GO:0007283; GO:0010468; GO:0071011
Q19425	Q19425	reviewed	S38A9_CAEEL	Sodium-coupled neutral amino acid transporter 9 homolog	F13H10.3	Caenorhabditis elegans	615	GO:0003333; GO:0005765; GO:0015179; GO:0031902; GO:0046872
Q8IWG1	Q8IWG1	reviewed	DNAI3_HUMAN	Dynein axonemal intermediate chain 3 (Testis development protein NYD-SP29) (WD repeat-containing protein 63)	DNAI3 WDR63	Homo sapiens (Human)	891	GO:0005737; GO:0005858; GO:0030336; GO:0034316; GO:0036156; GO:0036159; GO:0045503; GO:0045504; GO:0045669; GO:0060294; GO:0071933
Q7T0M6	Q7T0M6	reviewed	AS1AB_XENLA	Histone chaperone asf1a-B (Anti-silencing function protein 1 homolog A-B)	asf1ab asf1a	Xenopus laevis (African clawed frog)	200	GO:0005634; GO:0006325
Q60HG0	Q60HG0	reviewed	FKTN_MACFA	Ribitol-5-phosphate transferase FKTN (EC 2.7.8.-) (Fukutin) (Fukuyama-type congenital muscular dystrophy protein) (Ribitol-5-phosphate transferase)	FKTN FCMD QmoA-10950	Macaca fascicularis (Crab-eating macaque) (Cynomolgus monkey)	461	GO:0000139; GO:0005634; GO:0005794; GO:0005801; GO:0006493; GO:0016780; GO:0035269
Q9VR50	Q9VR50	reviewed	S35E1_DROME	Solute carrier family 35 member E1 homolog	CG14621	Drosophila melanogaster (Fruit fly)	373	GO:0005794; GO:0015297; GO:0016020
Q8ITC9	Q8ITC9	reviewed	PK1R_DROME	Pyrokinin-1 receptor	PK1-R CG9918	Drosophila melanogaster (Fruit fly)	430	GO:0004930; GO:0005886; GO:0007186; GO:0007218; GO:0008188; GO:0016020; GO:0036401; GO:0070328; GO:0090278
Q5R723	Q5R723	reviewed	PPIE_PONAB	Peptidyl-prolyl cis-trans isomerase E (PPIase E) (EC 5.2.1.8) (Cyclophilin E) (Rotamase E)	PPIE	Pongo abelii (Sumatran orangutan) (Pongo pygmaeus abelii)	301	GO:0000398; GO:0000413; GO:0003729; GO:0003755; GO:0005634; GO:0006457; GO:0008143; GO:0016018; GO:0071007
Q96SB8	Q96SB8	reviewed	SMC6_HUMAN	Structural maintenance of chromosomes protein 6 (SMC protein 6) (SMC-6) (hSMC6)	SMC6 SMC6L1	Homo sapiens (Human)	1091	GO:0000217; GO:0000722; GO:0000724; GO:0000775; GO:0000781; GO:0000803; GO:0003684; GO:0003697; GO:0005524; GO:0005634; GO:0005654; GO:0006974; GO:0016605; GO:0016607; GO:0016925; GO:0030915; GO:0031625; GO:0032204; GO:0035061; GO:0035861; GO:0044828; GO:0051984; GO:0090398; GO:0097431
Q0II91	Q0II91	reviewed	DJC21_BOVIN	DnaJ homolog subfamily C member 21	DNAJC21	Bos taurus (Bovine)	533	GO:0003676; GO:0005730; GO:0005737; GO:0008270
